Date;Asset;Open;High;Low;Close; Volume ;Decision;OpenInterest
21/02/2018;ICFFUT;237,95;237,95;233,83;233,99; R$15.434.493,34 ;Sell;4757
20/02/2018;ICFFUT;238,66;239,61;236,6;237,63; R$16.559.490,24 ;Sell;4735
19/02/2018;ICFFUT;238,66;239,06;238,42;238,66; R$5.424.766,61 ;Sell;4730
16/02/2018;ICFFUT;243,81;243,81;237,63;238,58; R$19.654.412,42 ;Sell;4579
15/02/2018;ICFFUT;246,18;247,05;243,81;244,12; R$13.432.614,23 ;Sell;4510
14/02/2018;ICFFUT;245,92;247,24;244,85;246,42; R$6.124.928,17 ;Sell;2463
09/02/2018;ICFFUT;251,04;251,04;244,27;245,59; R$13.141.804,66 ;Sell;2483
08/02/2018;ICFFUT;251,04;255,5;249,72;250,71; R$7.272.906,14 ;Sell;2571
07/02/2018;ICFFUT;252,69;255,17;252,28;253,93; R$9.080.763,94 ;Sell;2679
06/02/2018;ICFFUT;248,9;254,18;246,34;251,7; R$13.042.861,49 ;Sell;2806
05/02/2018;ICFFUT;249,72;251,37;247,82;248,57; R$7.408.436,92 ;Sell;2806
02/02/2018;ICFFUT;252,61;252,69;249,89;250,22; R$6.688.383,69 ;Sell;2789
01/02/2018;ICFFUT;252,94;254,35;251,04;251,87; R$4.990.716,45 ;Sell;2782
31/01/2018;ICFFUT;253,77;256,16;252,69;254,1; R$6.941.049,56 ;Sell;2808
30/01/2018;ICFFUT;259,8;259,8;253,69;253,85; R$12.288.245,10 ;Sell;2814
29/01/2018;ICFFUT;259,8;261,78;258,47;260,13; R$17.681.334,56 ;Sell;2889
26/01/2018;ICFFUT;257,24;260,95;256;260,95; R$14.084.136,86 ;Sell;2952
24/01/2018;ICFFUT;252,61;257,07;252,61;256,33; R$15.227.548,86 ;Sell;3049
23/01/2018;ICFFUT;259,71;259,88;252,36;252,69; R$9.198.528,97 ;Sell;3069
22/01/2018;ICFFUT;254,76;258,64;254,76;256,82; R$25.126.059,32 ;Sell;3384
19/01/2018;ICFFUT;253,93;255,58;252,28;254,68; R$6.255.183,81 ;Sell;3361
18/01/2018;ICFFUT;259,22;259,63;253,93;253,93; R$13.108.986,34 ;Sell;3361
17/01/2018;ICFFUT;253,69;259,22;252,86;259,05; R$10.599.934,27 ;Sell;4962
